"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"1999-05-28" 0 0 0.000180553958984773 -3.47792248195109e-05 0 0 0 -4.86090596539325e-05 2.74379811292678e-05 0 2.85123010070169e-05
"1999-06-04" 0 0 0.000407312872676447 0.000133994967436086 0 0 0 -0.00208025212203107 5.96514962599522e-05 0 0.000639182644718684
"1999-06-11" 0 0 -1.15064468787361e-05 -7.87758165757267e-05 0 0 0 0.000257947069706149 -0.000252477095074496 0 -1.52891862828729e-06
"1999-06-18" 0 0 -0.000147581100978561 -0.000172305661316274 0 0 0 -0.000256706778374522 7.08986306747516e-05 0 0.000403955658053839
"1999-06-25" 0 0 2.8694636980705e-06 0 0 0 0 0 0 0 0
"1999-07-02" 0 0 0 0 0 0 0 0 0 0 0
"1999-07-09" 0 0 0 0 0 0 0 0 0 0 0
"1999-07-16" 0 0.000632426450656837 7.55995239778643e-05 5.53877599252387e-06 0 0 0 -0.000453097874609606 -0.000251251211575762 0 -0.000103584166828733
"1999-07-23" 0 -5.74241338345001e-07 1.20513121209444e-05 0.000223493798236785 0 0.000129431947249358 0 -0.000417505169482274 1.33128488738176e-06 0 0.000120881520264751
"1999-07-30" 0 0 -4.80818770530621e-06 0.000208783767841689 0 0 0 4.18507709667918e-05 3.11872054471502e-05 0 4.83346911519939e-05
"1999-08-06" 0 0 7.70039609539119e-07 0.00025936072543472 0 0 0 1.78483415468578e-05 -2.15157674602267e-05 0 1.70003994556252e-05
"1999-08-13" 0 0 -1.03944688645512e-05 7.73504325981379e-05 0 0 0 0.000375554668942552 -1.37709853317748e-05 0 -0.000166642644136283
"1999-08-20" 0 0 0.000220223522173723 3.02625729014659e-06 0 0 0 -0.000522799363342441 1.91899202985435e-05 0 0.00106501129866341
"1999-08-27" 0 0 1.38226103387332e-06 0.000153201398868525 0 0 0 0.00014496401690217 8.37482722996461e-05 0 -0.000260087560052684
"1999-09-03" 0 -8.04735683655331e-05 -0.000106995943945264 1.10204035391937e-05 0 0 0 -4.33533811760092e-07 5.05318798237158e-05 0 -2.10244288150906e-05
"1999-09-10" 0 -1.09252591953624e-05 -0.0003683242606276 -4.33992364001162e-05 0 0 0 -0.000143840945859815 -0.000243025602826879 0 0.000110992090940898
"1999-09-17" 0 9.64921035251224e-05 3.71697837448835e-05 -5.10354205604249e-05 0 0 0 0.000161425308993208 -0.000502022575733333 0 -1.30535827399941e-05
"1999-09-24" 0 0.000255418115583483 -2.7684514915662e-05 -6.88491936595241e-05 0 0 0 0.000129369553266265 0.000226864535581612 0 0.000421057221654866
"1999-10-01" 0 0.000200360891977841 -1.59584649775109e-07 -1.01712574229577e-05 0 0 0 3.12028966118164e-05 4.63059126181403e-05 0 4.40984659475758e-05
"1999-10-08" 0 -5.53521352982109e-05 -8.20946561152424e-05 -6.64409786072939e-06 0 0 0 1.79166795521411e-05 -3.05425868234197e-05 0 -5.17436522680054e-05
"1999-10-15" 0 -1.81738251756003e-05 -0.000312098976784501 0.000321863228596781 0 0 0 6.49920871897871e-05 0.000247287443243756 0 7.65647755535719e-05
"1999-10-22" 0 0.000555031020770076 -0.000459797614829533 -0.000932893710376494 0 0 0 -0.000149787701111647 -0.000170901245405553 0 0.00121534846636093
"1999-10-29" 0 0 1.12800085045254e-05 0.000260599453764689 0 0 0 3.92009168404445e-05 5.79857130555545e-05 0 -1.16747152146203e-05
"1999-11-05" 0 0 4.27142914659122e-05 2.00887186175033e-05 0 8.11648476103641e-05 0 -1.13788785975542e-05 -9.16698476620561e-06 0 -7.7890378213051e-05
"1999-11-12" 0 0 -0.000101511484154933 -1.25290224026771e-05 0 1.88095788334168e-05 0 -7.49513514283549e-05 4.43177041555754e-05 0 0.000270162430307578
"1999-11-19" 0 0 3.6145923939473e-05 0.000394259728696127 0 0.00020837701782626 0 4.63110209139236e-05 -0.000180966629729093 0 -0.00016229454813815
"1999-11-26" 0 0 4.6617528722162e-05 -0.000204914721903114 0 -0.000103987752050766 0 5.38969126891989e-06 5.70661780967004e-05 0 -0.000401707821080045
"1999-12-03" 0 -2.9472868319093e-05 -6.81984121643131e-05 -0.00136024622503396 0 -0.000452013597607215 0 5.45284861006457e-05 -7.56378477085927e-05 0 -6.07791325082884e-05
