"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2000-02-04" 0 1.93977574035374e-05 6.94736481267573e-06 1.66508569670609e-06 0 0 0 2.60541361015341e-05 -1.69711418365611e-05 0 -5.83787249674583e-05
"2000-02-11" 0 9.38761033739935e-06 -7.08522972032047e-06 -1.11085057643061e-05 0 0 0 -4.27753455979491e-05 -1.42753893262027e-07 0 8.19574507598191e-05
"2000-02-18" 0 -7.85284587934805e-06 1.03821358288737e-06 -2.05989167047025e-06 0 0 0 6.13374911124073e-05 1.15413959554181e-07 0 -1.79018303218179e-05
"2000-02-25" 0 -2.97837620155115e-06 -1.3204068182632e-07 1.52218337791194e-06 0 0 0 9.83133169312096e-05 3.29849857024232e-06 0 -3.15679179886452e-05
"2000-03-03" 0 1.32226285122779e-06 8.88199003493699e-08 0 0 0 0 5.49666636444485e-05 -8.33786966887725e-05 0 -3.57340570949734e-05
"2000-03-10" 0 1.85205960778066e-07 -1.72340889486624e-07 0 0 0 0 1.0678609322267e-05 -7.25524454420348e-05 0 5.02526773144652e-05
"2000-03-17" 0 2.19565642972346e-08 -4.09899169708698e-07 0 0 0 0 5.98278908513748e-05 -9.35276886594898e-07 0 -3.9164091629677e-05
"2000-03-24" 0 5.10698940310295e-07 1.28234500826004e-06 0 0 0 0 6.6734984210598e-06 9.33110894097221e-05 0 1.83055439401297e-05
"2000-03-31" 0 4.61982981314712e-06 -1.4364225111398e-08 0 0 0 0 5.50679561063106e-06 2.0495358705612e-05 0 -2.3630406680937e-06
"2000-04-07" 0 -1.65995506597626e-05 1.10753693488896e-08 0 0 0 0 3.06875278031762e-05 -2.4503611048917e-05 0 1.38607807851876e-05
"2000-04-14" 0 -4.92184669938149e-05 -2.74254511078631e-07 0 0 0 0 3.49558999521931e-05 -1.19653640191126e-05 0 -1.47768213699749e-05
"2000-04-21" 0 1.8958777049392e-05 3.21358690516764e-07 0 0 0 0 0.000106601782852515 3.97417037241322e-05 0 4.65090806120575e-05
"2000-04-28" 0 -3.87273909506239e-05 -7.26862438367829e-06 0 0 0 0 3.0285870666597e-05 -7.82550506213389e-05 0 -8.19901863026109e-05
"2000-05-05" 0 3.70356940485949e-05 3.95930957427636e-06 0 0 0 0 -2.68839003684695e-06 5.77026353270658e-05 0 0.000209983615670738
"2000-05-12" 0 -2.86740029353756e-05 -3.57657782773347e-06 0 0 0 0 -9.69664795422797e-05 -9.27122889962221e-05 0 1.10000170259801e-05
"2000-05-19" 0 5.29601242301821e-05 -1.42125711981821e-05 0 0 0 0 5.23180610226419e-05 0.000199051060219075 0 0.0001054375036872
"2000-05-26" 0 0 5.17985696589901e-06 0 0 0 0 -4.68771143187929e-05 -3.73695966223941e-05 0 4.79775298901903e-05
"2000-06-02" 0 0 -2.39842419310084e-06 0 0 0 0 1.9783008216657e-05 1.28334304486432e-05 0 -0.000283349229455296
